product_id,product_name,category
a618378c-2192-4835-a84c-b869102e7a2f,bring,Mr
063955b8-c9c8-4cc3-8b2d-6842be189ea0,direction,coach
86bd36f9-ac1b-472e-9a7e-216ce3c737e8,agency,condition
7a9a8f34-e438-435d-9f11-7e61f9229c61,apply,behind
32d819a5-91ed-4580-8255-ca2f06c06d38,bed,hear
a99dc679-5ec9-4055-a34d-5ca82ce525cd,culture,officer
69ec30aa-1494-47e2-83cb-ac1a6ee02fcb,during,find
585de04c-512b-46ed-a666-9ad5a3edd773,relate,good
cc432fd9-bda3-43d6-b961-be996af16f56,go,professor
ce50bf26-f61b-40af-aacc-384c18d5da47,campaign,quality
